     1         0.000
     2         0.000
     3         0.000
     4         0.000
     5         0.000
     6         0.000
     7         0.000
     8         0.000
     9         0.000
    10         0.000
    11         0.000
    12         0.000
    13         0.000
    14         0.000
    15         0.000
    16         1.000
    17         0.412
    18         0.326
    19         0.297
    20         0.271
    21         0.248
    22         0.240
    23         0.235
    24         0.238
    25         0.242
    26         0.246
    27         0.000
    28         0.000
    29         0.000
    30         0.000
    31         0.000
    32         0.000
    33         0.000
    34         0.000
