plexi,um,0,0.05,0.1,0.15,0.2,0.25,0.3,0.34,0.39,0.44,0.49,0.54,0.59,0.64,0.68,0.73,0.78,0.83,0.88,0.93,0.98,1.02,1.07,1.12,1.17,1.22,1.27,1.32,1.36,1.41,1.46,1.51,1.56,1.61,1.66,1.7,1.75,1.8,1.85,1.9,1.95,2,2.04,2.09,2.14,2.19,2.24,2.29,2.34,2.38,2.43,2.48,2.53,2.58,2.63,2.68,2.72,2.77,2.82,2.87,2.92,2.97,3.02,3.06,3.11,3.16,3.21,3.26,3.31,3.36
0,0.718772532,0.350128,0.351301,0.35,0.358199,0.369835,0.370729,0.368443,0.373437,0.375509,0.375438,0.379083,0.376308,0.376445,0.393099,0.397211,0.39779,0.399866,0.400857,0.40079,0.399598,0.402133,0.417041,0.422511,0.423713,0.420361,0.422423,0.427016,0.429584,0.444334,0.449911,0.448559,0.450931,0.452733,0.461386,0.475203,0.476235,0.478501,0.481788,0.487707,0.504236,0.507808,0.511677,0.520114,0.527866,0.535032,0.543637,0.55602,0.566748,0.575275,0.593061,0.607879,0.618955,0.636341,0.650947,0.675002,0.697523,0.721245,0.75044,0.786656,0.827732,0.877003,0.93962,1.01844,1.12845,1.28985,1.56428,1.72174,1.11392,0.28596,0.0214697
0.8,0.7307610225,0.326958,0.329613,0.328505,0.336041,0.343564,0.340252,0.338353,0.339432,0.341008,0.342635,0.349828,0.349472,0.353347,0.362265,0.361635,0.361749,0.35896,0.360679,0.371273,0.371066,0.376897,0.38258,0.382411,0.38271,0.382252,0.396849,0.393427,0.401907,0.403116,0.404425,0.404544,0.418449,0.416583,0.423753,0.425407,0.426346,0.441494,0.444247,0.454176,0.455607,0.463748,0.472537,0.482,0.491312,0.503412,0.508318,0.516122,0.529169,0.543559,0.558286,0.576935,0.588651,0.607563,0.628134,0.655932,0.681283,0.71477,0.75163,0.798216,0.853029,0.926516,1.02379,1.1692,1.40945,1.57325,1.06875,0.304622,0.0256831,0.000672273,0
1.6,0.6534015672,0.295504,0.295907,0.295722,0.296773,0.298958,0.298655,0.301187,0.302635,0.304227,0.309434,0.317818,0.317396,0.316898,0.317301,0.317026,0.318815,0.321531,0.327424,0.337048,0.337554,0.337701,0.338128,0.342364,0.344099,0.352778,0.358666,0.359275,0.360572,0.366261,0.368166,0.375527,0.377087,0.378289,0.383915,0.387641,0.40101,0.404602,0.407681,0.41678,0.42273,0.429893,0.438783,0.444922,0.453853,0.461518,0.469173,0.477839,0.49262,0.502349,0.517781,0.53502,0.552404,0.576153,0.601941,0.629942,0.657469,0.695034,0.74228,0.805558,0.88983,1.01485,1.22284,1.38418,0.978788,0.299457,0.0286898,0.000739105,0,0,0
2.4,0.6033756139,0.261493,0.261806,0.262674,0.263368,0.263148,0.26259,0.270645,0.272723,0.273786,0.277765,0.279612,0.278362,0.277443,0.27662,0.287603,0.289606,0.2873,0.296398,0.296422,0.296439,0.296954,0.301927,0.306592,0.309616,0.313231,0.313729,0.313582,0.321084,0.325639,0.327649,0.330046,0.33019,0.337679,0.345152,0.35073,0.355592,0.358175,0.369601,0.372892,0.378471,0.386837,0.39575,0.404346,0.413814,0.423081,0.429783,0.439855,0.454136,0.464952,0.482438,0.4998,0.524622,0.546164,0.570838,0.603936,0.640769,0.692371,0.766509,0.873134,1.05084,1.19808,0.897041,0.295891,0.0322843,0.000867662,0,0,0,0,0
3.2,0.5562241119,0.229548,0.22929,0.229987,0.231524,0.232844,0.232684,0.243196,0.247003,0.247042,0.247218,0.244152,0.246826,0.249543,0.250198,0.26051,0.260854,0.261486,0.259898,0.260211,0.260852,0.263634,0.274785,0.272767,0.274627,0.275838,0.27708,0.284254,0.290133,0.291605,0.290854,0.297005,0.302335,0.306551,0.308251,0.313222,0.318469,0.324685,0.328801,0.33549,0.342893,0.3496,0.359041,0.36522,0.372928,0.382877,0.392919,0.404468,0.416395,0.433989,0.454076,0.474976,0.498074,0.525277,0.560632,0.609136,0.67009,0.763387,0.912145,1.0564,0.819303,0.283444,0.0315231,0.000595714,0,0,0,0,0,0,0
4,0.5241544974,0.207585,0.207895,0.207476,0.217992,0.218018,0.217055,0.219531,0.220613,0.219624,0.220199,0.220523,0.228652,0.231401,0.231573,0.234744,0.237003,0.237436,0.237943,0.247111,0.248191,0.248196,0.250564,0.251846,0.25371,0.261539,0.264031,0.264859,0.267338,0.268846,0.276327,0.278601,0.281677,0.285717,0.292489,0.298091,0.300299,0.306734,0.314344,0.319012,0.324877,0.333181,0.34122,0.34788,0.358341,0.370835,0.382378,0.396237,0.414803,0.435105,0.455098,0.481883,0.512469,0.553346,0.61204,0.691903,0.824865,0.954444,0.758428,0.278678,0.0326184,0.00105707,0.000077688,0,0,0,0,0,0,0,0
4.8,0.5169063398,0.19756,0.197109,0.196109,0.202378,0.203882,0.203624,0.203397,0.204489,0.20825,0.209758,0.210634,0.215214,0.216487,0.216373,0.216392,0.222231,0.222876,0.226554,0.228618,0.227759,0.228762,0.236722,0.238295,0.242388,0.242455,0.241548,0.24534,0.249238,0.253324,0.25414,0.256567,0.265023,0.266549,0.270576,0.278008,0.285239,0.28812,0.290604,0.298548,0.307913,0.313031,0.32433,0.33398,0.344099,0.357159,0.373736,0.39034,0.408631,0.430858,0.459728,0.495363,0.543461,0.613045,0.726162,0.859007,0.731514,0.285188,0.0405367,0.0012259,0,0,0,0,0,0,0,0,0,0,0
5.6,0.4880969045,0.179678,0.179973,0.179181,0.180617,0.179925,0.181093,0.181497,0.183056,0.190257,0.190182,0.191625,0.192678,0.194728,0.194949,0.196628,0.203307,0.203986,0.204142,0.203876,0.206047,0.209821,0.213276,0.213331,0.21626,0.2189,0.223025,0.226519,0.227971,0.231724,0.233116,0.237083,0.239584,0.244418,0.252085,0.257389,0.26153,0.267375,0.273893,0.281246,0.288537,0.296942,0.306599,0.316941,0.328783,0.344407,0.363053,0.381828,0.405408,0.435597,0.478327,0.541347,0.641364,0.759969,0.657215,0.276827,0.0414367,0.00137038,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,0.4574040468,0.162677,0.162913,0.163934,0.163544,0.164786,0.17069,0.171097,0.171862,0.172994,0.174497,0.176225,0.176406,0.181589,0.182448,0.183202,0.184392,0.184744,0.184234,0.190896,0.193529,0.194548,0.198896,0.19982,0.206254,0.207086,0.208733,0.212192,0.216681,0.219839,0.22159,0.224852,0.232632,0.234194,0.238591,0.243781,0.251252,0.25512,0.262496,0.269006,0.277848,0.288555,0.299419,0.312928,0.327465,0.343521,0.366616,0.396126,0.437998,0.490058,0.571734,0.682314,0.61357,0.273879,0.0402,0.00224692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
