plexi,um,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.6,11.8,12,12.2,12.4,12.6,12.8,13,13.2,13.4,13.6,13.8,14,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.8,16,16.2,16.4,16.6,16.8,17,17.2,17.4,17.6,17.8,18,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.8,21,21.2,21.4,21.6,21.8,22,22.2,22.4,22.6,22.8,23,23.2,23.4,23.6,23.8,24,24.2,24.4,24.6,24.8,25,25.2,25.4,25.6,25.8,26,26.2,26.4,26.6,26.8,27,27.2,27.4,27.6,27.8,28,28.2,28.4,28.6,28.8,29,29.2,29.4,29.6,29.8
0,0,0.233,0.234,0.234,0.234,0.235,0.235,0.235,0.236,0.236,0.236,0.237,0.237,0.238,0.239,0.24,0.24,0.241,0.241,0.242,0.243,0.243,0.245,0.245,0.246,0.247,0.247,0.248,0.249,0.25,0.25,0.251,0.252,0.253,0.254,0.255,0.256,0.257,0.257,0.258,0.259,0.26,0.261,0.262,0.263,0.264,0.265,0.265,0.266,0.268,0.269,0.27,0.271,0.272,0.272,0.274,0.276,0.277,0.278,0.279,0.28,0.281,0.283,0.285,0.286,0.287,0.289,0.29,0.291,0.293,0.295,0.297,0.298,0.3,0.302,0.303,0.306,0.308,0.309,0.311,0.313,0.315,0.317,0.32,0.322,0.324,0.326,0.329,0.332,0.334,0.338,0.34,0.342,0.346,0.349,0.352,0.355,0.358,0.363,0.367,0.37,0.376,0.383,0.387,0.394,0.399,0.404,0.411,0.416,0.422,0.431,0.437,0.444,0.451,0.458,0.47,0.478,0.493,0.501,0.513,0.524,0.536,0.556,0.571,0.597,0.616,0.638,0.661,0.706,0.74,0.781,0.832,0.932,1.017,1.103,1.152,0.901,0.648,0.272,0.116,0.037,0.004,0,0,0,0,0,0,0,0,0
