1001	11.3	12.3	23.9	0	1.0,0.42,0.338,0.314,0.292,0.272,0.267,0.265,0.271,0.277,0.280,0.283,0.288,0.293,0.296
1002	7.1	7.8	26.0	0	1.0,0.42,0.339,0.316,0.295,0.275,0.272,0.271,0.278,0.289
1003	3.7	3.7	3.8	4900	1.0,0.423,0.348,0.335,0.327,0.340
1004	7.3	8.6	23.4	0	1.0,0.419,0.337,0.313,0.290,0.269,0.264,0.262,0.267,0.272,0.276
1006	10.9	11.4	16.8	0	1.0,0.413,0.327,0.299,0.273,0.250,0.242,0.237,0.239,0.243,0.245,0.248,0.255,0.260
1007	8.8	9.2	30.1	0	1.0,0.417,0.337,0.315,0.294,0.276,0.274,0.275,0.284,0.295,0.302,0.309
1009	4.8	4.8	4.8	10000	1.0,0.42,0.341,0.324,0.312,0.306,0.335
1010	12.9	12.9	12.9	0	1.0,0.41,0.323,0.293,0.267,0.245,0.238,0.234,0.240,0.247,0.254,0.264,0.281,0.301,0.334,0.368
1011	28.2	28.6	29.0	0	1.0,0.421,0.340,0.317,0.296,0.278,0.276,0.276,0.286,0.295,0.302,0.308,0.318,0.326,0.338,0.350,0.357,0.374,0.382,0.399,0.414,0.426,0.450,0.462,0.489,0.511,0.550,0.586,0.634,0.696,0.760,0.879,0.886
126	3.2	3.2	3.3	5000	1.0,0.423,0.348,0.335,0.327,0.340
178	4.9	5.2	27.3	2000	1.0,0.421,0.339,0.317,0.296,0.276,0.281
176	5.4	5.4	5.6	3000	1.0,0.417,0.336,0.315,0.300,0.290,0.302,0.332
156	6.0	6.8	26.6	3000	1.0,0.421,0.339,0.317,0.296,0.277,0.274,0.273,0.286
169	6.2	7.8	27.4	0	1.0,0.421,0.340,0.317,0.296,0.277,0.275,0.275,0.283,0.296
168	6.3	6.9	23.6	0	1.0,0.419,0.337,0.313,0.290,0.269,0.264,0.261,0.272
123	6.6	6.6	5.8	3000	1.0,0.414,0.331,0.309,0.290,0.277,0.284,0.299,0.338
109	7.1	7.8	20.4	0	1.0,0.417,0.333,0.307,0.283,0.261,0.254,0.250,0.253,0.260
180	8.0	8.7	10.0	0	1.0,0.41,0.324,0.297,0.273,0.254,0.252,0.255,0.269,0.289,0.313
1059	8.2	8.6	27.6	0	1.0,0.421,0.34,0.317,0.296,0.277,0.275,0.275,0.284,0.293,0.300
128	8.3	8.9	16.4	0	1.0,0.412,0.326,0.297,0.271,0.248,0.240,0.235,0.238,0.242,0.246
148	8.8	9.7	24.2	0	1.0,0.42,0.338,0.314,0.292,0.272,0.267,0.265,0.271,0.277,0.28,0.283
140	9.0	9.2	9.4	0	1.0,0.41,0.324,0.297,0.273,0.254,0.252,0.255,0.269,0.289,0.312,0.344
1044	9.6	10.3	29.4	0	1.0,0.417,0.337,0.315,0.294,0.276,0.274,0.275,0.284,0.295,0.302,0.309,0.318
104	9.8	9.8	9.8	0	1.0,0.41,0.323,0.295,0.270,0.250,0.246,0.247,0.258,0.273,0.290,0.313,0.348
162	9.9	10.6	25.9	0	1.0,0.42,0.339,0.316,0.295,0.275,0.272,0.271,0.278,0.286,0.290,0.294,0.3
1045	10.4	11.5	25.7	0	1.0,0.42,0.339,0.316,0.295,0.275,0.272,0.271,0.278,0.286,0.29,0.294,0.302,0.303
158	10.7	11.4	12.8	0	1.0,0.41,0.322,0.293,0.267,0.245,0.239,0.237,0.244,0.253,0.262,0.275,0.297,0.32
108	10.8	11.0	11.9	0	1.0,0.41,0.322,0.294,0.268,0.247,0.242,0.241,0.249,0.261,0.274,0.291,0.319,0.351
1084	10.8	11.4	25.3	0	1.0,0.42,0.339,0.315,0.293,0.274,0.27,0.268,0.275,0.282,0.285,0.288,0.295,0.296
118	11.4	12.1	18.4	0	1.0,0.415,0.33,0.303,0.278,0.255,0.247,0.242,0.245,0.249,0.25,0.251,0.257,0.262,0.268
189	11.5	11.5	11.6	0	1.0,0.41,0.322,0.293,0.267,0.245,0.239,0.237,0.244,0.253,0.262,0.275,0.297,0.324,0.359
165	11.6	12.3	27.4	0	1.0,0.421,0.34,0.317,0.296,0.277,0.275,0.275,0.284,0.293,0.299,0.304,0.313,0.32,0.326
1078	11.9	12.3	30.0	0	1.0,0.417,0.337,0.315,0.294,0.276,0.274,0.275,0.284,0.295,0.302,0.309,0.319,0.328,0.336
121	12.1	12.9	21.5	0	1.0,0.418,0.335,0.309,0.285,0.264,0.258,0.254,0.258,0.262,0.263,0.265,0.269,0.273,0.282,0.284
161	12.2	13.0	26.3	0	1.0,0.42,0.339,0.316,0.295,0.275,0.272,0.271,0.278,0.286,0.29,0.294,0.302,0.307,0.317,0.319
116	12.3	13.5	13.1	0	1.0,0.41,0.323,0.293,0.267,0.245,0.238,0.234,0.24,0.247,0.254,0.264,0.28,0.301,0.329,0.415
188	12.4	12.8	15.2	0	1.0,0.411,0.324,0.295,0.269,0.246,0.238,0.233,0.237,0.242,0.245,0.251,0.262,0.274,0.295,0.314
100	12.6	13.2	26.2	0	1.0,0.42,0.339,0.316,0.295,0.275,0.272,0.271,0.278,0.286,0.29,0.294,0.302,0.307,0.317,0.319
112	12.9	12.9	29.0	0	1.0,0.421,0.34,0.317,0.296,0.278,0.276,0.276,0.286,0.295,0.302,0.308,0.318,0.326,0.339,0.342
129	13.0	13.9	30.5	0	1.0,0.417,0.337,0.315,0.294,0.276,0.274,0.275,0.284,0.295,0.302,0.309,0.319,0.328,0.341,0.355,0.353
1079	13.1	14.7	23.9	0	1.0,0.42,0.338,0.314,0.292,0.272,0.267,0.265,0.271,0.277,0.28,0.283,0.288,0.292,0.301,0.31,0.316,0.318
172	13.3	14.9	18.9	0	1.0,0.415,0.33,0.303,0.278,0.255,0.247,0.242,0.245,0.249,0.25,0.251,0.257,0.262,0.272,0.285,0.298,0.31
196	13.3	14.0	21.7	0	1.0,0.418,0.335,0.309,0.285,0.264,0.258,0.254,0.258,0.262,0.263,0.265,0.269,0.273,0.281,0.291,0.289
153	13.4	13.9	17.9	0	1.0,0.414,0.329,0.301,0.275,0.252,0.244,0.239,0.242,0.245,0.247,0.249,0.255,0.261,0.273,0.289,0.294
1019	13.5	14.3	29.9	0	1.0,0.417,0.337,0.315,0.294,0.276,0.274,0.275,0.284,0.295,0.302,0.309,0.319,0.328,0.341,0.355,0.353
173	13.6	13.8	14.8	0	1.0,0.411,0.324,0.295,0.269,0.246,0.238,0.233,0.237,0.242,0.245,0.251,0.262,0.274,0.294,0.32,0.352,0.389
171	13.9	15.0	18.4	0	1.0,0.415,0.33,0.303,0.278,0.255,0.247,0.242,0.245,0.249,0.25,0.251,0.257,0.262,0.272,0.285,0.298,0.31
1051	14.3	15.0	21.9	0	1.0,0.418,0.335,0.309,0.285,0.264,0.258,0.254,0.258,0.262,0.263,0.265,0.269,0.273,0.281,0.29,0.298,0.304
183	14.5	15.3	14.5	0	1.0,0.411,0.324,0.295,0.269,0.246,0.238,0.233,0.237,0.242,0.245,0.251,0.262,0.274,0.294,0.32,0.352,0.389
122	14.6	15.4	13.8	0	1.0,0.411,0.324,0.295,0.269,0.246,0.238,0.233,0.237,0.242,0.245,0.251,0.262,0.274,0.294,0.32,0.352,0.389
143	14.9	15.4	26.6	0	1.0,0.421,0.339,0.317,0.296,0.277,0.273,0.273,0.281,0.29,0.295,0.299,0.308,0.314,0.324,0.334,0.34,0.356,0.349
