  MODULATION100  MODULATION98  PARCOURS     NUMERO     21-APR-06 
 22.4           23.2           25.9             115
 22.7           23.3           22.7            1050
 22.7           22.7           30.6             124
 23.0           24.1           27.2             174
 23.2            0.0           24.0              49
 23.2           23.7           27.4             101
 23.3           23.9           27.1              81
 23.5           23.5           23.7             193
 23.8           25.0           30.1             157
 24.1           24.1           24.1             197
 24.1           24.9           29.8             130
 24.2           24.2           24.2             199
 24.8           25.3           26.2             175
 25.5           26.5           26.7             132
 25.7           26.6           30.1             170
 26.8           27.7           30.6             154
 26.8           26.8           30.8              75
 28.2           28.6           29.0            1011
